,Center Longitude,Center Latitude,Average Distance
IT_NORD,10.42551054158695,45.24699935518044,131.76145137937212
IT_CNOR,12.299687879143589,43.34514385525434,81.39921164096714
IT_CSUD,13.529719615238573,41.73528248201721,99.66028278510413
IT_SUD,16.747796134379325,40.56287570070776,105.27816531946779
IT_SICI,14.18330409546123,37.447347017293104,71.88743738024323
IT_SARD,8.991318920608247,40.12638087390538,56.23071074024719
Bayern,11.534316709896695,49.11232658641411,97.99637050336274
Hessen,9.172708140758436,50.82723626576908,52.184714876492514
Nordrhein-Westfalen,8.877926086148829,51.90012086267142,27.28072184479671
Bremen/Niedersachsen,8.863213662058282,52.81913502724935,82.36904361574938
Schleswig-Holstein,9.453898806340998,54.35045402188897,49.0776587256854
Baden-Württemberg,9.099317754203563,48.61332370288724,75.85305170607334
SE1,21.666893950673575,65.48638721608776,60.05120410600742
SE2,16.920032623833986,62.7162608461436,128.08438984725314
SE3,15.155737728903695,58.75657310512185,154.6882211306934
SE4,13.869257268743517,56.13920218317467,81.33222008064979
DK1,9.604466261130966,55.86149685995005,76.45935087144741
DK2,11.9657918374443,55.48240155318046,45.92412663285398
